	cytb: Centrochelys sulcata, LT599487.1	CYTB: Chelonoidis abingdonii, MT017690.1	CYTB: Chelonoidis abingdonii, NC_051472.1	CYTB: Chelonoidis abingdonii, OM719673.1	CYTB: Chelonoidis abingdonii, OM719698.1	cytb: Chelonoidis alburyorum, LT599482.1	CYTB: Chelonoidis becki, MT017693.1	CYTB: Chelonoidis becki, NC_051473.1	CYTB: Chelonoidis becki, OM719692.1	CYTB: Chelonoidis becki, OM719693.1	cytb: Chelonoidis carbonarius, LT599483.1	CYTB: Chelonoidis carbonarius, MT017704.1	CYTB: Chelonoidis carbonarius, OQ789392.1	CYTB: Chelonoidis carbonarius, NC_080265.1	CYTB: Chelonoidis chathamensis, MT017692.1	CYTB: Chelonoidis chathamensis, OM719702.1	CYTB: Chelonoidis chathamensis, OM719703.1	CYTB: Chelonoidis chathamensis, OM719704.1	cytb: Chelonoidis chilensis, LT599484.1	CYTB: Chelonoidis darwini, MT017694.1	CYTB: Chelonoidis darwini, NC_051474.1	CYTB: Chelonoidis darwini, OM719670.1	CYTB: Chelonoidis darwini, OM719671.1	CYTB: Chelonoidis darwini, OM719672.1	cytb: Chelonoidis denticulatus, LT599485.1	CYTB: Chelonoidis denticulatus, MT017703.1	CYTB: Chelonoidis donfaustoi, MT017695.1	CYTB: Chelonoidis donfaustoi, NC_051475.1	CYTB: Chelonoidis duncanensis, MG912791.1	CYTB: Chelonoidis duncanensis, MG912792.1	CYTB: Chelonoidis duncanensis, MG912820.1	CYTB: Chelonoidis duncanensis, MG912828.1	CYTB: Chelonoidis duncanensis, MT017697.1	CYTB: Chelonoidis duncanensis, NC_051477.1	CYTB: Chelonoidis guntheri, MT017700.1	CYTB: Chelonoidis guntheri, NC_051480.1	CYTB: Chelonoidis guntheri, OM719674.1	CYTB: Chelonoidis guntheri, OM719675.1	CYTB: Chelonoidis guntheri, OM719676.1	CYTB: Chelonoidis hoodensis, MT017696.1	CYTB: Chelonoidis hoodensis, NC_051476.1	CYTB: Chelonoidis hoodensis, OM719683.1	CYTB: Chelonoidis hoodensis, OM719684.1	CYTB: Chelonoidis hoodensis, OM719685.1	CYTB: Chelonoidis microphyes, MT017702.1	CYTB: Chelonoidis microphyes, NC_051482.1	CYTB: Chelonoidis microphyes, OM719708.1	CYTB: Chelonoidis microphyes, OM719709.1	CYTB: Chelonoidis niger, JN999704.2	CYTB: Chelonoidis niger, MT017691.1	CYTB: Chelonoidis niger, OM719687.1	CYTB: Chelonoidis phantasticus, OM719686.1	CYTB: Chelonoidis phantasticus, OM719688.1	CYTB: Chelonoidis porteri, MT017698.1	CYTB: Chelonoidis porteri, NC_051478.1	CYTB: Chelonoidis porteri, OM719680.1	CYTB: Chelonoidis porteri, OM719681.1	CYTB: Chelonoidis porteri, OM719682.1	CYTB: Chelonoidis vandenburghi, MT017701.1	CYTB: Chelonoidis vandenburghi, NC_051481.1	CYTB: Chelonoidis vandenburghi, OM719705.1	CYTB: Chelonoidis vandenburghi, OM719706.1	cytb: Chelonoidis vicina, LT599486.1	CYTB: Chelonoidis vicina, MT017699.1	CYTB: Chelonoidis vicina, NC_051479.1	CYTB: Chelonoidis vicina, OM719689.1	CYTB: Chelonoidis vicina, OM719690.1	CYTB: Chelonoidis vicina, OM719691.1	CYTB: Chelonoidis vicina, OQ581203.1	CYTB: Stigmochelys pardalis, NC_007694.1
CYTB: Chelonoidis microphyes, NC_051482.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	1,116	63	1,137	1,137	1,129	1,131	1,131	1,133	1,133	1,131	1,143	1,143	1,143	1,143	1,022	1,139	1,139	1,135	1,139	1,139	1,139	895
CYTB: Chelonoidis microphyes, OM719708.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,116	63	1,137	1,137	1,129	1,131	1,131	1,133	1,133	1,131	1,143	1,143	1,143	1,143	1,022	1,139	1,139	1,135	1,139	1,139	1,139	895
CYTB: Chelonoidis microphyes, OM719709.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,116	63	1,137	1,137	1,129	1,131	1,131	1,133	1,133	1,131	1,143	1,143	1,143	1,143	1,022	1,139	1,139	1,135	1,139	1,139	1,139	895
CYTB: Chelonoidis niger, JN999704.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,134	67	1,118	1,118	1,118	1,120	1,120	1,126	1,122	1,120	1,116	1,116	1,116	1,116	1,023	1,116	1,116	1,112	1,116	1,116	1,116	883
CYTB: Chelonoidis niger, MT017691.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	496	63	63	61	57	57	61	59	57	63	63	63	63	109	63	63	63	63	63	63	21
CYTB: Chelonoidis niger, OM719687.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,131	1,133	1,133	1,135	1,135	1,133	1,137	1,137	1,137	1,137	1,020	1,137	1,137	1,133	1,137	1,137	1,137	900
CYTB: Chelonoidis phantasticus, OM719686.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,131	1,133	1,133	1,135	1,135	1,133	1,137	1,137	1,137	1,137	1,020	1,137	1,137	1,133	1,137	1,137	1,137	900
CYTB: Chelonoidis phantasticus, OM719688.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,133	1,133	1,135	1,135	1,133	1,129	1,129	1,129	1,129	1,012	1,129	1,129	1,125	1,129	1,129	1,129	900
CYTB: Chelonoidis porteri, MT017698.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,137	1,141	1,143	1,131	1,131	1,131	1,131	1,014	1,131	1,131	1,127	1,131	1,131	1,131	906
CYTB: Chelonoidis porteri, NC_051478.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,137	1,141	1,143	1,131	1,131	1,131	1,131	1,014	1,131	1,131	1,127	1,131	1,131	1,131	906
CYTB: Chelonoidis porteri, OM719680.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,139	1,137	1,133	1,133	1,133	1,133	1,016	1,133	1,133	1,129	1,133	1,133	1,133	900
CYTB: Chelonoidis porteri, OM719681.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,141	1,133	1,133	1,133	1,133	1,016	1,133	1,133	1,129	1,133	1,133	1,133	904
CYTB: Chelonoidis porteri, OM719682.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,131	1,131	1,131	1,131	1,014	1,131	1,131	1,127	1,131	1,131	1,131	906
CYTB: Chelonoidis vandenburghi, MT017701.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	1,143	1,022	1,139	1,139	1,135	1,139	1,139	1,139	895
CYTB: Chelonoidis vandenburghi, NC_051481.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	1,022	1,139	1,139	1,135	1,139	1,139	1,139	895
CYTB: Chelonoidis vandenburghi, OM719705.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,022	1,139	1,139	1,135	1,139	1,139	1,139	895
CYTB: Chelonoidis vandenburghi, OM719706.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,022	1,139	1,139	1,135	1,139	1,139	1,139	895
cytb: Chelonoidis vicina, LT599486.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,074	1,022	1,022	1,018	1,022	1,022	1,022	807
CYTB: Chelonoidis vicina, MT017699.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,135	1,139	1,139	1,139	899
CYTB: Chelonoidis vicina, NC_051479.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,135	1,139	1,139	1,139	899
CYTB: Chelonoidis vicina, OM719689.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,135	1,135	1,135	893
CYTB: Chelonoidis vicina, OM719690.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	895
CYTB: Chelonoidis vicina, OM719691.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	895
CYTB: Chelonoidis vicina, OQ581203.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	895
CYTB: Stigmochelys pardalis, NC_007694.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144
